Prereq1,Prereq2,Prereq3,CRN,Dept,Crse,Sec,Cred,Title,Days,Start,End,Rem,Instructor,Date (MM/DD),Location
,,,8290,ARAB,101,1,3,Arabic for Beginners I,M,15:30,17:20,20,Mohammed Tkachmita,08/31-12/19,HAY 201
ARAB 102,,,8291,ARAB,201,1,3,Intermediate Arabic I,M,17:30,18:20,20,Mohammed Tkachmita,08/31-12/19,HAY 201
,,,8291,ARAB,201,1,,,W,16:30,18:20,,Mohammed Tkachmita,08/31-12/19,HAY 201
,,,8291,ARAB,201,1,,,R,16:30,17:20,,Mohammed Tkachmita,08/31-12/19,HAY 201
,,,8292,ARAB,301,1,3,Advanced Arabic I,MW,18:30,19:45,20,Mohammed Tkachmita,08/31-12/19,HAY 201
,,,8293,CHIN,101,1,3,Introduction to Study of Mandarin Chinese I,MWR,15:00,15:50,20,Xiaojing Li,08/31-12/19,MGL 306
CHIN 102,,,8294,CHIN,201,1,3,IntermediateMandarinChineseI,M,11:00,11:50,20,Ting W. Bell,08/31-12/19,MGL 305
,,,8294,CHIN,201,1,,,TWF,10:00,10:50,,Ting W. Bell,08/31-12/19,MGL 314
CHIN 202,,,8295,CHIN,301,1,3,Advanced Mandarin Chinese I,TF,12:30,13:45,20,Ting W. Bell,08/31-12/19,MGL 314
,,,8296,CHIN,321,1,1,Mandarin Chinese Across the Curriculum,,TBA,TBA,0,TBA,08/31-12/19,TBA
,,,8297,FREN,101,1,3,French for Beginners I,MWR,11:00,11:50,20,TBA,08/31-12/19,MGL 306
,,,8297,FREN,101,1,,,F,11:00,12:15,,TBA,08/31-12/19,MGL 305
,,,8298,FREN,101,2,3,French for Beginners I,MWR,15:00,15:50,20,TBA,08/31-12/19,MGL 304
,,,8298,FREN,101,2,,,T,14:00,15:15,,TBA,08/31-12/19,MGL 305
FREN 102,,,8299,FREN,201,1,3,French for Communication I,MWR,14:00,14:50,20,TBA,08/31-12/19,MGL 312
,,,8299,FREN,201,1,,,T,11:00,12:15,,TBA,08/31-12/19,MGL 305
,,,8300,FREN,203,1,3,Writing French,MR,9:30,10:45,20,TBA,08/31-12/19,MGL 312
,,,8300,FREN,203,1,,,F,9:00,9:50,,TBA,08/31-12/19,MGL 305
,,,8301,FREN,320,1,3,Special Topic: in French and/ or Francophone Culture,MR,12:00,13:15,20,TBA,08/31-12/19,MGL 310
,,,8302,ITAL,101,1,3,Italian for Beginners I,TWF,8:00,8:50,20,Luisanna Sardu,08/31-12/19,MGL 202
,,,8302,ITAL,101,1,,,R,8:00,9:15,,Luisanna Sardu,08/31-12/19,MGL 305
