Prereq1,Prereq2,Prereq3,CRN,Subj,Crse,Sec,Cred,Title,Days,Start,End,Rem,Instructor,Date (MM/DD),Location
,,,8481,ECON,150,61,3,Roots: Economics,MW,18:30,19:45,15,William Clyde,08/31-12/19,DLS 205
,,,8482,ECON,150,62,3,Roots: Economics,MW,20:00,21:15,20,William Clyde,08/31-12/19,DLS 205
,,,8483,ECON,203,1,3,Microeconomics,MR,8:00,9:15,25,Raul Velazquez,08/31-12/19,DLS 214
,,,8484,ECON,203,2,3,Microeconomics,TWF,8:00,8:50,25,Georgios Koimisis,08/31-12/19,DLS 205
,,,8485,ECON,203,3,3,Microeconomics,TWF,10:00,10:50,25,Fiona Maclachlan,08/31-12/19,DLS 300
,,,8487,ECON,203,4,3,Microeconomics,MWR,11:00,11:50,25,TBA,08/31-12/19,DLS 301
,,,8488,ECON,203,5,3,Microeconomics,TF,12:30,13:45,25,Natalia Boliari,08/31-12/19,DLS 207
,,,8489,ECON,203,6,3,Microeconomics,TWF,13:00,13:50,25,Fiona Maclachlan,08/31-12/19,DLS 300
,,,8490,ECON,203,7,3,Microeconomics,TF,14:00,15:15,25,Natalia Boliari,08/31-12/19,DLS 207
,,,8491,ECON,203,8,3,Microeconomics,MWR,14:00,14:50,25,TBA,08/31-12/19,DLS 301
,,,8492,ECON,203,9,3,Microeconomics,MTR,17:30,18:20,25,William Clyde,08/31-12/19,DLS 205
,,,8493,ECON,203,61,3,Microeconomics,MW,18:30,19:45,25,Carlos G Elias,08/31-12/19,DLS 302
,,,8494,ECON,203,62,3,Microeconomics,MW,20:00,21:15,25,Carlos G Elias,08/31-12/19,DLS 302
,,,8495,ECON,204,61,3,Macroeconomics,MW,18:30,19:45,25,Tzu-Hao Huang,08/31-12/19,DLS 308
ECON 203,ECON 204,BUAN 227,8496,ECON,302,1,3,Intermediate Macroeconomics,MR,12:00,13:15,20,Hyeon Park,08/31-12/19,DLS 208
ECON 203,ECON 204,BUAN 227,8497,ECON,302,2,3,Intermediate Macroeconomics,MWR,15:00,15:50,20,Hyeon Park,08/31-12/19,DLS 208
MATH 153 ,MATH 154,,8498,ECON,303,1,3,Mathematical Economics,MR,13:30,14:45,20,Hyeon Park,08/31-12/19,DLS 214
